edge_id	source	target	interaction	edge_type	evidence	is_direct_alignment	cluster_representative	cluster_size	cluster_visibility_in_original_network	raw_m8_query	raw_m8_target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
A0A3Q8Q3U2__direct_alignment__A0A1B1ISK0	A0A3Q8Q3U2	A0A1B1ISK0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A1B1ISK0	0.253	79	26	9	17	89	177	228	8.953E-02	30
A0A3Q8Q3U2__direct_alignment__A0A482ICV6	A0A3Q8Q3U2	A0A482ICV6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A482ICV6	0.307	39	13	4	33	69	124	150	3.437E-02	31
A0A3Q8Q3U2__cluster_membership__A0A6J5MF54	A0A3Q8Q3U2	A0A6J5MF54	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A6J5NJ84	A0A3Q8Q3U2	A0A6J5NJ84	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5NJ84	0.240	79	21	9	21	75	183	246	2.332E-01	29
A0A3Q8Q3U2__direct_alignment__A0A3G5AHS7	A0A3Q8Q3U2	A0A3G5AHS7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G5AHS7	0.370	27	9	2	54	72	141	167	3.209E-01	28
A0A3Q8Q3U2__cluster_membership__A0A2D1GNC9	A0A3Q8Q3U2	A0A2D1GNC9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A2H4UV05	A0A3Q8Q3U2	A0A2H4UV05	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2H4UV05	0.301	53	27	5	111	162	155	198	1.232E-01	30
A0A3Q8Q3U2__direct_alignment__A0A2I7SAT8	A0A3Q8Q3U2	A0A2I7SAT8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2I7SAT8	0.213	117	42	11	157	245	686	780	1.943E-03	35
A0A3Q8Q3U2__direct_alignment__A0A3G4ZUR9	A0A3Q8Q3U2	A0A3G4ZUR9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G4ZUR9	0.307	39	17	4	202	239	224	253	6.075E-01	27
A0A3Q8Q3U2__cluster_membership__A0A3G5ALK2	A0A3Q8Q3U2	A0A3G5ALK2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A516MNB1	A0A3Q8Q3U2	A0A516MNB1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A516MNB1	0.413	29	6	4	54	73	2	28	5.669E+00	24
A0A3Q8Q3U2__cluster_membership__A0A565DAW7	A0A3Q8Q3U2	A0A565DAW7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A8S5U965	A0A3Q8Q3U2	A0A8S5U965	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S5U965	0.260	50	27	3	15	55	27	75	2.332E-01	29
A0A3Q8Q3U2__direct_alignment__Q9FZR1	A0A3Q8Q3U2	Q9FZR1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	Q9FZR1	0.260	73	19	10	9	68	348	398	1.582E+00	26
A0A3Q8Q3U2__direct_alignment__A0A6J7WTF1	A0A3Q8Q3U2	A0A6J7WTF1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J7WTF1	0.208	67	24	5	179	233	53	102	4.120E+00	25
A0A3Q8Q3U2__direct_alignment__A0A6J7WYQ0	A0A3Q8Q3U2	A0A6J7WYQ0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J7WYQ0	0.283	53	25	6	32	78	127	172	9.587E-03	33
A0A3Q8Q3U2__cluster_membership__A0A6B9J8D5	A0A3Q8Q3U2	A0A6B9J8D5	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A3G5ABP7	A0A3Q8Q3U2	A0A3G5ABP7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G5ABP7	0.245	57	29	5	14	67	116	161	6.507E-02	30
A0A3Q8Q3U2__direct_alignment__A0A7S6SVX9	A0A3Q8Q3U2	A0A7S6SVX9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A7S6SVX9	0.311	45	14	5	40	76	504	539	6.507E-02	30
A0A3Q8Q3U2__direct_alignment__A0A0Y0LT40	A0A3Q8Q3U2	A0A0Y0LT40	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A0Y0LT40	0.296	64	24	6	18	75	39	87	6.075E-01	27
A0A3Q8Q3U2__cluster_membership__A0A510E871	A0A3Q8Q3U2	A0A510E871	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A6J7WZU6	A0A3Q8Q3U2	A0A6J7WZU6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J7WZU6	0.238	84	40	7	12	90	173	237	4.415E-01	28
A0A3Q8Q3U2__cluster_membership__A0A0E3F4H3	A0A3Q8Q3U2	A0A0E3F4H3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A6J5MDG2	A0A3Q8Q3U2	A0A6J5MDG2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5MDG2	0.224	49	27	5	162	207	35	75	5.669E+00	24
A0A3Q8Q3U2__direct_alignment__A0A6J7WLA8	A0A3Q8Q3U2	A0A6J7WLA8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J7WLA8	0.255	47	22	6	34	75	143	181	5.669E+00	24
A0A3Q8Q3U2__direct_alignment__A0A7L9AXF5	A0A3Q8Q3U2	A0A7L9AXF5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A7L9AXF5	0.281	71	24	8	183	244	422	474	4.729E-02	31
A0A3Q8Q3U2__direct_alignment__A0A481ZDC9	A0A3Q8Q3U2	A0A481ZDC9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A481ZDC9	0.265	113	36	13	149	238	447	535	1.319E-02	33
A0A3Q8Q3U2__direct_alignment__A0A8D9CCP6	A0A3Q8Q3U2	A0A8D9CCP6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8D9CCP6	0.229	61	18	5	169	202	1	59	6.507E-02	30
A0A3Q8Q3U2__direct_alignment__A0A6J5QMH6	A0A3Q8Q3U2	A0A6J5QMH6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5QMH6	0.216	37	20	2	16	52	122	149	1.150E+00	26
A0A3Q8Q3U2__direct_alignment__A0A481YSY8	A0A3Q8Q3U2	A0A481YSY8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A481YSY8	0.247	117	38	11	29	116	1	96	9.587E-03	33
A0A3Q8Q3U2__cluster_membership__A0A6J5L7D4	A0A3Q8Q3U2	A0A6J5L7D4	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A6J5M782	A0A3Q8Q3U2	A0A6J5M782	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5M782	0.263	57	23	6	20	68	140	185	8.953E-02	30
A0A3Q8Q3U2__direct_alignment__E5EQW0	A0A3Q8Q3U2	E5EQW0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	E5EQW0	0.239	117	35	12	146	243	145	226	1.695E-01	29
A0A3Q8Q3U2__direct_alignment__E3T524	A0A3Q8Q3U2	E3T524	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	E3T524	0.298	67	22	8	18	74	136	187	5.669E+00	24
A0A3Q8Q3U2__direct_alignment__A0A2H4UTB4	A0A3Q8Q3U2	A0A2H4UTB4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2H4UTB4	0.253	71	26	9	180	237	284	340	3.437E-02	31
A0A3Q8Q3U2__direct_alignment__M4QPK3	A0A3Q8Q3U2	M4QPK3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	M4QPK3	0.245	122	44	15	152	245	1	102	1.232E-01	30
A0A3Q8Q3U2__direct_alignment__A0A3G4ZPD3	A0A3Q8Q3U2	A0A3G4ZPD3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G4ZPD3	0.220	100	43	11	4	76	163	254	6.507E-02	30
A0A3Q8Q3U2__direct_alignment__A0A811BLS5	A0A3Q8Q3U2	A0A811BLS5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A811BLS5	0.240	50	15	5	32	75	80	112	1.582E+00	26
A0A3Q8Q3U2__direct_alignment__A0A8A5J2B5	A0A3Q8Q3U2	A0A8A5J2B5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8A5J2B5	0.283	113	45	12	135	214	146	255	3.059E-05	41
A0A3Q8Q3U2__direct_alignment__A0A8S5PY24	A0A3Q8Q3U2	A0A8S5PY24	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S5PY24	0.272	121	34	16	12	89	176	285	6.967E-03	34
A0A3Q8Q3U2__direct_alignment__G8ECJ6	A0A3Q8Q3U2	G8ECJ6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	G8ECJ6	0.263	38	15	3	154	191	38	62	2.177E+00	25
A0A3Q8Q3U2__direct_alignment__Q5UPK9	A0A3Q8Q3U2	Q5UPK9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	Q5UPK9	0.217	78	27	8	154	218	38	94	1.232E-01	30
A0A3Q8Q3U2__direct_alignment__E3T529	A0A3Q8Q3U2	E3T529	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	E3T529	0.287	94	32	12	180	247	218	302	3.937E-04	38
A0A3Q8Q3U2__direct_alignment__E3T552	A0A3Q8Q3U2	E3T552	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	E3T552	0.222	148	37	16	146	246	72	188	1.582E+00	26
A0A3Q8Q3U2__direct_alignment__A0A6J5LYF8	A0A3Q8Q3U2	A0A6J5LYF8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5LYF8	0.253	71	29	7	131	197	14	64	4.729E-02	31
A0A3Q8Q3U2__direct_alignment__A0A6J5PJ73	A0A3Q8Q3U2	A0A6J5PJ73	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5PJ73	0.272	55	22	6	157	200	97	144	4.415E-01	28
A0A3Q8Q3U2__direct_alignment__A0A879R3H0	A0A3Q8Q3U2	A0A879R3H0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A879R3H0	0.285	42	17	4	39	75	9	42	1.150E+00	26
A0A3Q8Q3U2__direct_alignment__A0A218MKE4	A0A3Q8Q3U2	A0A218MKE4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A218MKE4	0.312	64	18	11	19	69	7	57	2.332E-01	29
A0A3Q8Q3U2__direct_alignment__A0A2H4UUQ2	A0A3Q8Q3U2	A0A2H4UUQ2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2H4UUQ2	0.225	62	18	8	36	84	64	108	2.995E+00	25
A0A3Q8Q3U2__direct_alignment__A0A2K9V8R9	A0A3Q8Q3U2	A0A2K9V8R9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2K9V8R9	0.322	62	18	8	202	245	1	56	8.953E-02	30
A0A3Q8Q3U2__direct_alignment__A0A1V0S9B9	A0A3Q8Q3U2	A0A1V0S9B9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A1V0S9B9	0.250	60	21	9	28	75	543	590	4.415E-01	28
A0A3Q8Q3U2__cluster_membership__A0A5P8DCX7	A0A3Q8Q3U2	A0A5P8DCX7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A6J5NND2	A0A3Q8Q3U2	A0A6J5NND2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5NND2	0.236	76	21	8	14	67	347	407	2.177E+00	25
A0A3Q8Q3U2__direct_alignment__A0A1C9C5L0	A0A3Q8Q3U2	A0A1C9C5L0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A1C9C5L0	0.256	117	35	13	4	73	140	251	6.967E-03	34
A0A3Q8Q3U2__direct_alignment__A0A8S5S387	A0A3Q8Q3U2	A0A8S5S387	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S5S387	0.210	57	20	4	33	69	146	197	3.209E-01	28
A0A3Q8Q3U2__direct_alignment__A0A2H4UTC9	A0A3Q8Q3U2	A0A2H4UTC9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2H4UTC9	0.255	86	25	10	13	70	208	282	9.587E-03	33
A0A3Q8Q3U2__direct_alignment__A0A5K0UBH0	A0A3Q8Q3U2	A0A5K0UBH0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A5K0UBH0	0.518	27	9	3	192	217	608	631	4.415E-01	28
A0A3Q8Q3U2__direct_alignment__A0A481Z5Y0	A0A3Q8Q3U2	A0A481Z5Y0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A481Z5Y0	0.223	76	27	9	16	76	52	110	8.358E-01	27
A0A3Q8Q3U2__direct_alignment__A0A481ZAP2	A0A3Q8Q3U2	A0A481ZAP2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A481ZAP2	0.234	47	18	4	32	73	593	626	1.232E-01	30
A0A3Q8Q3U2__direct_alignment__A0A5K0U9M7	A0A3Q8Q3U2	A0A5K0U9M7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A5K0U9M7	0.254	122	39	16	9	109	396	486	3.679E-03	35
A0A3Q8Q3U2__direct_alignment__A0A5K0UA16	A0A3Q8Q3U2	A0A5K0UA16	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A5K0UA16	0.282	99	24	13	181	244	33	119	3.209E-01	28
A0A3Q8Q3U2__direct_alignment__A0A7D3QTS0	A0A3Q8Q3U2	A0A7D3QTS0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A7D3QTS0	0.209	81	21	7	18	76	400	459	8.953E-02	30
A0A3Q8Q3U2__direct_alignment__A0A516MF80	A0A3Q8Q3U2	A0A516MF80	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A516MF80	0.187	64	29	8	14	69	33	81	2.177E+00	25
A0A3Q8Q3U2__cluster_membership__A0A6J5SG81	A0A3Q8Q3U2	A0A6J5SG81	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A8S5RVP3	A0A3Q8Q3U2	A0A8S5RVP3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S5RVP3	0.340	44	14	6	143	180	38	72	2.995E+00	25
A0A3Q8Q3U2__direct_alignment__E3T4Y7	A0A3Q8Q3U2	E3T4Y7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	E3T4Y7	0.271	103	36	13	152	240	242	319	1.319E-02	33
A0A3Q8Q3U2__direct_alignment__A0A3G5AH34	A0A3Q8Q3U2	A0A3G5AH34	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G5AH34	0.226	115	56	13	101	204	104	196	8.358E-01	27
A0A3Q8Q3U2__direct_alignment__A0A6M5C9Z9	A0A3Q8Q3U2	A0A6M5C9Z9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6M5C9Z9	0.400	15	8	1	157	170	120	134	2.995E+00	25
A0A3Q8Q3U2__direct_alignment__A0A8S5PXA2	A0A3Q8Q3U2	A0A8S5PXA2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S5PXA2	0.257	70	26	9	11	76	132	179	4.415E-01	28
A0A3Q8Q3U2__direct_alignment__M4QDL4	A0A3Q8Q3U2	M4QDL4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	M4QDL4	0.257	66	21	9	16	62	107	163	2.177E+00	25
A0A3Q8Q3U2__direct_alignment__A0A8S0I0F3	A0A3Q8Q3U2	A0A8S0I0F3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S0I0F3	0.267	86	35	9	14	88	14	82	7.799E+00	24
A0A3Q8Q3U2__direct_alignment__A0A8S0I1X4	A0A3Q8Q3U2	A0A8S0I1X4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S0I1X4	0.206	87	29	8	16	78	109	179	2.332E-01	29
A0A3Q8Q3U2__direct_alignment__A0A7D7EYZ2	A0A3Q8Q3U2	A0A7D7EYZ2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A7D7EYZ2	0.252	91	31	10	127	202	36	104	3.437E-02	31
A0A3Q8Q3U2__direct_alignment__A0A6J5MED7	A0A3Q8Q3U2	A0A6J5MED7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5MED7	0.250	52	20	4	31	69	34	79	3.209E-01	28
A0A3Q8Q3U2__direct_alignment__A0A0K1L759	A0A3Q8Q3U2	A0A0K1L759	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A0K1L759	0.203	59	20	6	35	75	6	55	1.582E+00	26
A0A3Q8Q3U2__direct_alignment__A0A5B8HYC8	A0A3Q8Q3U2	A0A5B8HYC8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A5B8HYC8	0.277	54	19	7	34	70	113	163	5.417E-04	37
A0A3Q8Q3U2__direct_alignment__A0A6J5PVH5	A0A3Q8Q3U2	A0A6J5PVH5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5PVH5	0.230	65	27	5	158	200	46	109	4.729E-02	31
A0A3Q8Q3U2__direct_alignment__A0A6J7XC21	A0A3Q8Q3U2	A0A6J7XC21	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J7XC21	0.198	237	89	25	16	231	360	516	5.063E-03	34
A0A3Q8Q3U2__direct_alignment__G8DFE2	A0A3Q8Q3U2	G8DFE2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	G8DFE2	0.222	81	37	7	157	234	42	99	7.455E-04	37
A0A3Q8Q3U2__direct_alignment__A0A3G4ZUE2	A0A3Q8Q3U2	A0A3G4ZUE2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G4ZUE2	0.207	111	30	9	12	75	85	184	2.498E-02	32
A0A3Q8Q3U2__direct_alignment__Q4A256	A0A3Q8Q3U2	Q4A256	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	Q4A256	0.207	101	42	12	129	210	513	594	2.498E-02	32
A0A3Q8Q3U2__direct_alignment__A0A385IRP8	A0A3Q8Q3U2	A0A385IRP8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A385IRP8	0.266	75	25	10	20	76	183	245	1.695E-01	29
A0A3Q8Q3U2__direct_alignment__A0A1V0SE79	A0A3Q8Q3U2	A0A1V0SE79	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A1V0SE79	0.267	56	14	6	193	244	211	243	1.582E+00	26
A0A3Q8Q3U2__direct_alignment__A0A1V0SLA1	A0A3Q8Q3U2	A0A1V0SLA1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A1V0SLA1	0.229	109	40	13	146	234	23	107	2.498E-02	32
A0A3Q8Q3U2__direct_alignment__A0A2H4UV79	A0A3Q8Q3U2	A0A2H4UV79	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2H4UV79	0.264	117	50	15	141	240	215	312	1.943E-03	35
A0A3Q8Q3U2__direct_alignment__A0A481YY38	A0A3Q8Q3U2	A0A481YY38	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A481YY38	0.265	128	37	17	134	252	40	119	6.075E-01	27
A0A3Q8Q3U2__cluster_membership__A0A1V0SGP3	A0A3Q8Q3U2	A0A1V0SGP3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__cluster_membership__A0A345MKN1	A0A3Q8Q3U2	A0A345MKN1	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__cluster_membership__A0A385PJA1	A0A3Q8Q3U2	A0A385PJA1	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A5K0U9K6	A0A3Q8Q3U2	A0A5K0U9K6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A5K0U9K6	0.600	10	4	0	148	157	6	15	5.669E+00	24
A0A3Q8Q3U2__cluster_membership__A4L236	A0A3Q8Q3U2	A4L236	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__cluster_membership__A7KA36	A0A3Q8Q3U2	A7KA36	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__Q9DUB7	A0A3Q8Q3U2	Q9DUB7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	Q9DUB7	0.291	48	18	6	166	205	215	254	4.415E-01	28
A0A3Q8Q3U2__direct_alignment__A0A6J5PJY0	A0A3Q8Q3U2	A0A6J5PJY0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5PJY0	0.282	39	16	4	36	68	433	465	2.995E+00	25
A0A3Q8Q3U2__direct_alignment__A0A6J5R481	A0A3Q8Q3U2	A0A6J5R481	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5R481	0.298	57	28	5	14	62	303	355	2.498E-02	32
A0A3Q8Q3U2__direct_alignment__A0A516LS96	A0A3Q8Q3U2	A0A516LS96	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A516LS96	0.186	134	43	13	143	252	52	143	2.995E+00	25
A0A3Q8Q3U2__cluster_membership__A0A6J5PB34	A0A3Q8Q3U2	A0A6J5PB34	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
